"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_1733559",-1.30222994713872,11.0435762531923,-7.99370808858922,2.80298748732761e-14,1.75564511923659e-11,21.8929629587521
"ILMN_2255310",0.506556599565243,8.40652194074067,7.82591819195078,8.55920369303206e-14,3.42111407575339e-11,20.8150599105755
"ILMN_3246805",-1.17408322602483,10.0239910111522,-7.82194817456724,8.78670143015935e-14,3.42111407575339e-11,20.7897365505911
"ILMN_3249578",-1.11195977123473,11.5674262450901,-7.38309305389506,1.51403456119808e-12,3.95905981967316e-10,18.0435347853283
"ILMN_1703337",-1.21922175129344,7.56602259279614,-7.38052366328558,1.53899312718101e-12,3.95905981967316e-10,18.0277734149948
"ILMN_1787949",0.635899556680215,10.8658759277871,7.28975645440808,2.73547661997373e-12,6.06265787497563e-10,17.4734123954998
"ILMN_3243593",-0.790963200087328,7.51484889606276,-7.19767183325292,4.87916565699729e-12,9.1699230181028e-10,16.9158801515518
"ILMN_3246850",0.626444506334144,11.0386353764679,7.17377980914759,5.66500134514815e-12,1.04628217151544e-09,16.7720346196743
"ILMN_1656807",0.504930362629372,10.6702200622266,7.14294741519596,6.86561076688065e-12,1.22106158898374e-09,16.5869004053179
"ILMN_3239610",-1.23520331964594,7.26699960045116,-6.95978746269729,2.1259078825123e-11,3.09351807631033e-09,15.4987823751103
"ILMN_3200661",0.634057956763479,8.89148681799496,6.31259622992026,9.77755993402266e-10,7.04277642047652e-08,11.8204562961569
"ILMN_3251587",-1.22508044077615,7.83653625618626,-6.08872185369761,3.45288014563813e-09,1.9976783685969e-07,10.6113473423282
"ILMN_1750507",0.635885630627502,9.77347423474021,6.04487878627663,4.40346412419426e-09,2.4120267746442e-07,10.3785157592144
"ILMN_1769277",0.591123665730745,9.08643582617028,6.03992581881485,4.52574734101712e-09,2.45104948100348e-07,10.3522950850573
"ILMN_2139943",0.627321358639206,9.0480086181045,5.34164446486277,1.8160828077694e-07,5.41666437447743e-06,6.82802689109559
"ILMN_2337241",0.511979077051462,9.85923747522428,4.86211316262133,1.87119529989725e-06,3.48274412019636e-05,4.61496767356575
