"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_1753608",-0.264426505654573,8.87924434468137,-11.0158939627739,6.01702216317708e-24,8.6681221282729e-20,43.4445327717114
"ILMN_3258356",0.192989783766165,7.17776271482762,10.3364878766165,1.21752596210462e-21,8.76983950503958e-18,38.2990768953645
"ILMN_1814812",0.319869990469285,7.4285380966021,10.0630664703995,9.87887859052592e-21,4.74383749917055e-17,36.270712348401
"ILMN_1732705",-0.332275231043376,8.58202663630338,-9.91725828078576,2.98406734345295e-20,1.07471185374458e-16,35.1998040405168
"ILMN_2124386",0.240112227288795,7.96851260398059,9.43324064883959,1.10483899360307e-18,3.18326210836915e-15,31.7020099429763
"ILMN_2075334",0.497855084160648,11.3846405847269,9.20227003078645,5.98880487759551e-18,1.43791205111068e-14,30.0656584721692
"ILMN_1706057",-0.242202284022083,9.70912770360273,-9.17623910022897,7.23529921375199e-18,1.48902457819016e-14,29.882630149837
"ILMN_1783226",0.244908112106144,9.11555907590008,8.77372753122476,1.29658229619151e-16,2.12239489438076e-13,27.0899011469889
"ILMN_3207020",0.295043163930295,12.1557792751847,8.77056408512215,1.3259443321829e-16,2.12239489438076e-13,27.0682380266866
"ILMN_2050112",0.365891115979016,12.355801676597,8.73032563077406,1.76219272477034e-16,2.53861483930415e-13,26.7930863410754
"ILMN_3208973",0.364636041922338,12.3221746629531,8.58249639257615,4.97809961166077e-16,6.519500273235e-13,25.7886532461015
"ILMN_1719165",0.186789395816373,7.47890761253936,8.50518270376009,8.53400068688211e-16,1.0245067824602e-12,25.2674283694485
"ILMN_1773125",0.219813794473448,7.65049689869402,8.4873020941537,9.66305101127133e-16,1.07081471437211e-12,25.1472881157737
"ILMN_3307648",-0.295404484576862,9.60952433699335,-8.44077443236838,1.33418262026438e-15,1.37287391625205e-12,24.835386915339
"ILMN_1750974",0.245024096268748,14.0494166259848,8.3389154492167,2.69356814414008e-15,2.58690284563213e-12,24.1562308355842
"ILMN_1702759",0.212439782608497,7.79984088884676,8.21885281490312,6.12505820558792e-15,5.51484928185622e-12,23.3622538843652
"ILMN_2324994",0.197592578865669,7.29652322091509,8.1645658398005,8.8593307339242e-15,7.10142754992884e-12,23.0056169919866
"ILMN_2326071",0.418748307103728,12.0527172312215,8.16299285672283,8.95438446320578e-15,7.10142754992884e-12,22.9953054800681
"ILMN_2049727",0.232159761059396,9.04143383528344,8.15636601568826,9.36603661312286e-15,7.10142754992884e-12,22.9518777275018
"ILMN_1781416",0.29737438943697,8.04244221691651,8.14714716074502,9.96999454374509e-15,7.18138706985959e-12,22.8915007032386
"ILMN_3238818",0.334752766225655,12.385088987794,8.07484311395285,1.62515588776073e-14,1.11485693900386e-11,22.4194602499858
"ILMN_2072091",-0.238669839555824,8.75739607578247,-8.02180563721413,2.32171602531431e-14,1.52030186639445e-11,22.0749069117821
"ILMN_1733559",-1.30222994713872,11.0435762531923,-7.99370808858922,2.80298748732761e-14,1.75564511923659e-11,21.8929629587521
"ILMN_2316974",-0.284449481776779,12.487583496909,-7.98413274301132,2.98855376706805e-14,1.7938793986826e-11,21.8310521010275
"ILMN_3225784",0.399454269084963,10.7641676847373,7.9730746871785,3.21800013418956e-14,1.79618972259451e-11,21.7596139775612
"ILMN_1665148",0.440644427268923,10.4972105370613,7.96897179198178,3.30748898829408e-14,1.79618972259451e-11,21.7331243525515
"ILMN_1768261",-0.145069878138967,6.86099933230195,-7.96594551190107,3.37506748787169e-14,1.79618972259451e-11,21.7135913365137
"ILMN_1801307",0.402940900079884,9.28655565621005,7.9608848561046,3.49113648706416e-14,1.79618972259451e-11,21.6809382054231
"ILMN_1839719",-0.117847815269998,7.49476852296397,-7.92744245697712,4.36374271033695e-14,2.16772680983152e-11,21.4654931642989
"ILMN_1710885",0.414060314045141,11.0761935058091,7.91081697801399,4.8745320884431e-14,2.34075030887038e-11,21.358605847569
"ILMN_1864166",-0.16343223382204,7.32143538997132,-7.88372405700813,5.83631021667372e-14,2.67223544007195e-11,21.1847342632651
"ILMN_1756982",0.315432224341253,10.7645913465426,7.87929315987309,6.01052471067906e-14,2.67223544007195e-11,21.1563354445444
